hID,F.13-17,F.18-24,F.25-34,F.35-44,F.45-54,F.55-64,F.65+,M.13-17,M.18-24,M.25-34,M.35-44,M.45-54,M.55-64,M.65+,U.13-17,U.18-24,U.25-34,U.35-44,U.45-54,U.55-64,U.65+
-9185217652402180575,1.0,14.25,7.0,3.75,1.6666666666666667,0.0,1.3333333333333333,1.0,21.5,16.25,7.25,1.75,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9175544061209790002,1488.1619870410368,7324.7861771058315,2033.0172786177106,649.4017278617711,411.3153347732181,156.84233261339094,100.78617710583153,1174.5529157667386,7539.801295896328,3473.63282937365,603.4665226781857,242.08207343412528,87.21598272138229,87.1317494600432,4.904645476772616,17.339092872570195,26.556277056277057,13.290993071593533,5.632516703786192,3.158333333333333,2.6609442060085837
-9156617651427282577,178.5637149028078,8906.92656587473,9127.308855291576,2966.069114470842,978.8725701943845,364.76839826839824,233.01960784313727,432.5377969762419,27721.300215982723,31914.917926565875,8623.529157667386,2425.267818574514,680.5369565217392,567.3856209150326,2.7857142857142856,69.47783251231527,148.69248291571753,70.91747572815534,23.927807486631018,11.36624203821656,10.148026315789474
-9145254332915205176,287.97846889952154,9426.169934640522,9863.588235294117,4900.424836601307,2547.244008714597,910.9054945054945,421.08590308370043,32.628169014084506,1213.041394335512,2478.958605664488,1917.2991266375545,1518.024070021882,536.2345132743363,248.75294117647059,1.7628205128205128,22.21708185053381,84.0933734939759,72.18823529411765,41.828125,16.8213058419244,8.942028985507246
-9124186022016029939,542.1252699784018,1877.8272138228942,748.1987041036717,347.56371490280776,221.7084233261339,89.68466522678186,57.08207343412527,120.5658747300216,752.2721382289417,469.70410367170626,223.5637149028078,149.64794816414687,48.61555075593952,25.837662337662337,1.1724137931034482,1.990066225165563,2.2773972602739727,2.9949748743718594,1.3896103896103895,1.24,1.0996884735202492
-9060515269420703901,2151.2116630669548,65288.624190064795,74967.73002159827,26221.70194384449,9032.978401727862,3119.863930885529,1978.5917926565876,687.9697624190064,25148.200863930884,25522.358531317495,7868.747300215983,2803.025917926566,980.950323974082,813.8250539956804,9.863291139240506,258.80525164113783,402.69498910675384,195.7748344370861,78.4237668161435,32.40952380952381,28.111922141119223
-9054823158055871920,0.0,2.0,40.0,37.0,3.5,2.5,2.0,0.0,3.0,55.0,75.5,12.0,4.0,2.0,0.0,0.0,1.0,1.5,0.0,0.0,1.0
-9053951776935744471,1435.5075593952483,23549.01295896328,28464.451403887688,10057.019438444924,3711.0653594771243,1602.123076923077,895.362831858407,692.6263498920086,10846.110151187904,17703.235421166308,6543.578260869565,2069.811279826464,799.8736141906874,598.4777777777778,6.923913043478261,60.63611859838275,173.15384615384616,138.90651558073654,51.34146341463415,25.07017543859649,20.010344827586206
-9027507980375807969,0.0,7.5,22.0,18.5,36.0,13.0,9.0,0.0,3.0,21.0,20.0,21.0,8.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
-9025522220386825589,27.01123595505618,1279.0407239819006,3284.993212669683,3254.8800904977375,1618.6606334841629,465.91628959276017,416.9321266968326,48.9910447761194,3203.823529411765,7890.43665158371,6498.1425339366515,2740.549773755656,484.8883826879271,362.60779816513764,1.7052631578947368,90.8,173.60171919770772,152.10795454545453,78.66449511400651,24.003676470588236,21.564912280701755
-8980675186003719279,7.168918918918919,82.94578313253012,50.28313253012048,13.386503067484663,6.9324324324324325,3.110169491525424,2.918181818181818,6.385185185185185,68.01807228915662,44.65060240963855,9.80625,4.692857142857143,2.4516129032258065,3.03125,1.0,1.7142857142857142,1.972972972972973,1.5,1.3,1.1666666666666667,1.0
-8858816505525933294,26352.615550755938,298097.36501079914,126911.82505399568,25468.48596112311,12309.570194384449,4315.628509719222,3634.3239740820736,23875.02807775378,288702.42764578835,143069.64794816414,21787.760259179267,8304.034557235422,2687.466522678186,3748.7537796976244,118.52699784017278,1530.6155507559395,1129.5334773218142,285.6047516198704,119.14470842332614,49.58315334773218,70.61771058315335
-8801584497543469326,320.8528138528139,6016.1317494600435,14722.01079913607,9418.39524838013,5472.282937365011,2605.6414686825055,1451.7861771058315,583.9847161572052,7652.16414686825,22201.578833693304,15355.138228941685,8335.133909287257,3053.9157667386607,1732.92656587473,8.281368821292777,95.47306791569086,277.06783369803065,241.45555555555555,126.08545034642032,59.75417661097852,57.026004728132385
-8798511015488239960,2.0,8.076923076923077,17.785714285714285,17.384615384615383,14.076923076923077,9.285714285714286,4.75,5.75,8.818181818181818,12.714285714285714,10.846153846153847,10.071428571428571,7.25,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
